Date,Team,Opp,GS,W,L,ERA,G,GS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
5/6/2015,Washington Nationals,MIA,1,1,0,6.43,1,1,0,0,0,0,0,7,30,10,5,5,1,0,0,0,0,0,10,49
5/1/2015,Washington Nationals,NYM,1,0,1,1.29,1,1,0,0,0,0,0,7,27,5,1,1,1,1,0,1,0,0,10,69
4/23/2015,Washington Nationals,STL,1,0,1,2.57,1,1,0,0,0,0,0,7,27,6,2,2,0,0,0,1,1,0,4,66
4/17/2015,Washington Nationals,PHI,1,1,0,1.13,1,1,0,0,0,0,0,8,29,4,1,1,0,0,0,0,0,0,9,84
4/12/2015,Washington Nationals,PHI,1,0,0,1.5,1,1,0,0,0,0,0,6,26,6,1,1,0,2,0,0,0,0,8,63
4/6/2015,Washington Nationals,NYM,1,0,1,0,1,1,0,0,0,0,0,7.2,31,4,3,0,0,2,0,0,0,0,8,71
9/25/2014,Detroit Tigers,MIN,1,1,0,3,1,1,0,0,0,0,0,6,27,5,2,2,0,4,0,0,0,0,9,58
9/20/2014,Detroit Tigers,KCR,1,1,0,0,1,1,0,0,0,0,0,7,29,7,1,0,0,1,0,1,0,0,6,66
9/15/2014,Detroit Tigers,MIN,1,0,0,5.14,1,1,0,0,0,0,0,7,27,7,4,4,1,1,0,0,1,0,5,50
9/9/2014,Detroit Tigers,KCR,1,1,0,1.35,1,1,0,0,0,0,0,6.2,30,7,1,1,0,4,0,0,0,0,6,58
9/4/2014,Detroit Tigers,CLE,1,0,0,3,1,1,0,0,0,0,0,6,26,4,3,2,0,3,0,0,1,0,6,56
8/30/2014,Detroit Tigers,CHW,1,0,1,6.75,1,1,0,0,0,0,0,6.2,30,9,6,5,2,0,0,0,0,0,11,40
8/24/2014,Detroit Tigers,MIN,1,1,0,5.4,1,1,0,0,0,0,0,5,24,7,3,3,0,1,0,1,1,0,4,46
8/19/2014,Detroit Tigers,TBR,1,0,0,5.14,1,1,0,0,0,0,0,7,29,4,4,4,1,3,0,1,0,0,9,56
8/14/2014,Detroit Tigers,PIT,1,1,0,0,1,1,0,0,0,0,0,8,28,3,0,0,0,2,0,0,0,0,14,89
8/9/2014,Detroit Tigers,TOR,1,0,0,1.13,1,1,0,0,0,0,0,8,27,4,1,1,0,0,0,0,0,0,11,85
8/4/2014,Detroit Tigers,NYY,1,0,1,2.57,1,1,0,0,0,0,0,7,30,9,2,2,0,3,0,0,1,0,4,53
7/30/2014,Detroit Tigers,CHW,1,1,0,1.29,1,1,0,0,0,0,0,7,25,5,1,1,0,1,0,0,0,0,6,70
7/24/2014,Detroit Tigers,LAA,1,1,0,3.86,1,1,0,0,0,0,0,7,28,6,3,3,0,1,0,0,1,0,11,67
7/19/2014,Detroit Tigers,CLE,1,0,0,3.18,1,1,0,0,0,0,0,5.2,27,6,2,2,2,4,0,0,1,0,4,37
